municipality,requester_cnes,requester_name,executor_cnes,executor_name,grupo_saude_am_id,executor_address
ATALAIA DO NORTE,2016672,UNIDADE HOSPITALAR DE ATALAIA DO NORTE,2016664,UNIDADE BASICA DE SAUDE ENFERMEIRO ETADDEUS ROBERTO FELIX,1a337963-0139-40e3-b267-332cd8fe5784,"RUA DO QUIXITO, SN - CENTRO"
ATALAIA DO NORTE,4145453,UNIDADE BASICA DE SAUDE ANTONIO MARIANO DE SOUZA,2016664,UNIDADE BASICA DE SAUDE ENFERMEIRO ETADDEUS ROBERTO FELIX,1a337963-0139-40e3-b267-332cd8fe5784,"RUA DO QUIXITO, SN - CENTRO"
ATALAIA DO NORTE,7018037,SECRETARIA MUNICIPAL DE SAUDE DE ATALAIA DO NORTE,2016664,UNIDADE BASICA DE SAUDE ENFERMEIRO ETADDEUS ROBERTO FELIX,1a337963-0139-40e3-b267-332cd8fe5784,"RUA DO QUIXITO, SN - CENTRO"
AUTAZES,2013045,UNIDADE HOSPITALAR DE AUTAZES,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,2013053,UNIDADE BASICA DE SAUDE SANTA JULIA,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,2013061,UNIDADE BASICA DE SAUDE SANTA VERONICA,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,2013088,UNIDADE BASICA DE SAUDE FLUVIAL WALTER COLARES PINHEIRO,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,2013096,UNIDADE BASICA DE SAUDE MONTE SINAI,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,2013118,UNIDADE BASICA DE SAUDE ANA DIAS,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
AUTAZES,2013126,UNIDADE BASICA DE SAUDE MARIA MENDONCA,6925235,UNIDADE BASICA DE SAUDE DO SAO JOSE,ed995489-c42d-460b-8263-071d81152132,"RUA PEDRO NOBRE, 702 - SÃO JOSE"
